t[c]	Об/мин	[V2-V1]	Кр.м.	P	Л.С.
29	2069	-331	-741,896551724138	-161173,31637931	-219,134725081872
31	1935	-134	-280,967741935484	-57085,6209677419	-77,614844304959
32	1875	-60	-121,875	-23994,140625	-32,6229522823798
2665	23	-1852	-45,1707317073171	-109,087317073171	-0,148317474466368
28	2143	2120	4921,42857142857	1107395,25	1505,63852079966
27	2222	79	190,185185185185	44372,1055555556	60,329273918624
26	2308	86	215	52103,1	70,840501088547
25	2400	92	239,2	60278,4	81,9558156964917
24	2500	100	270,833333333333	71093,75	96,6605993551994
24	2500	0	0	0	0
24	2500	0	0	0	0
23	2609	109	308,04347826087	84386,9706521739	114,734349517486
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
24	2500	-109	-295,208333333333	-77492,1875	-105,360053297167
24	2500	0	0	0	0
24	2500	0	0	0	0
25	2400	-100	-260	-65520	-89,0824083657518
5581	11	-2389	-27,8238666905572	-32,1365660275936	-0,0436935698770305
122	492	481	256,270491803279	13238,9336065574	17,9999403215266
111	541	49	28,6936936936937	1629,94527027027	2,21610882448171
120	500	-41	-22,2083333333333	-1165,9375	-1,58523382942527
126	476	-24	-12,3809523809524	-618,8	-0,841333856787656
116	517	41	22,9741379310345	1247,15107758621	1,69565356513007
101	594	77	49,5544554455445	3090,71138613861	4,20219801344137
6	10000	9406	101898,333333333	106993250	145470,335605601
86	698	-9302	-7030,58139534884	-515271,310465116	-700,574012484884
86	698	0	0	0	0
79	759	61	50,1898734177215	3999,88196202532	5,43832598223358
73	822	63	56,0958904109589	4841,63630136986	6,58279337846579
68	882	60	57,3529411764706	5311,45588235294	7,22157023700304
63	952	70	72,2222222222222	7219,33333333333	9,81556166252265
58	1034	82	91,8965517241379	9977,20862068965	13,5652285210405
49	1224	190	252,040816326531	32392,2857142857	44,0412518910273
45	1333	109	157,444444444444	22036,7116666667	29,9615895562932
39	1538	205	341,666666666667	55175,75	75,0181424509559
35	1714	176	326,857142857143	58824,48	79,9790346346612
32	1875	161	327,03125	64384,27734375	87,5382552910525
30	2000	125	270,833333333333	56875	77,3284794841596
28	2143	143	331,964285714286	74696,94375	101,559579469034
27	2222	79	190,185185185185	44372,1055555556	60,329273918624
25	2400	178	462,8	116625,6	158,566686891038
24	2500	100	270,833333333333	71093,75	96,6605993551994
23	2609	109	308,04347826087	84386,9706521739	114,734349517486
22	2727	118	348,636363636364	99826,7931818182	135,726665996126
22	2727	0	0	0	0
21	2857	130	402,380952380952	120708,25	164,117546086924
21	2857	0	0	0	0
20	3000	143	464,75	146396,25	199,043506192227
20	3000	0	0	0	0
20	3000	0	0	0	0
20	3000	0	0	0	0
20	3000	0	0	0	0
20	3000	0	0	0	0
20	3000	0	0	0	0
21	2857	-143	-442,619047619048	-132779,075	-180,529300695616
21	2857	0	0	0	0
21	2857	0	0	0	0
21	2857	0	0	0	0
21	2857	0	0	0	0
21	2857	0	0	0	0
22	2727	-130	-384,090909090909	-109978,670454545	-149,529377792342
22	2727	0	0	0	0
22	2727	0	0	0	0
23	2609	-118	-333,478260869565	-91354,702173913	-124,207827918012
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
23	2609	0	0	0	0
24	2500	-109	-295,208333333333	-77492,1875	-105,360053297167
24	2500	0	0	0	0
24	2500	0	0	0	0
24	2500	0	0	0	0
24	2500	0	0	0	0
25	2400	-100	-260	-65520	-89,0824083657518
25	2400	0	0	0	0
26	2308	-92	-230	-55738,2	-75,7828616296085
27	2222	-86	-207,037037037037	-48303,8111111111	-65,6749057848312
27	2222	0	0	0	0
28	2143	-79	-183,392857142857	-41266,14375	-56,1063411052704
28	2143	0	0	0	0
27	2222	79	190,185185185185	44372,1055555556	60,329273918624
26	2308	86	215	52103,1	70,840501088547
25	2400	92	239,2	60278,4	81,9558156964917
22	2727	327	966,136363636364	276638,655681818	376,123896446892
22	2727	0	0	0	0
22	2727	0	0	0	0
21	2857	130	402,380952380952	120708,25	164,117546086924
21	2857	0	0	0	0
21	2857	0	0	0	0
22	2727	-130	-384,090909090909	-109978,670454545	-149,529377792342
22	2727	0	0	0	0
22	2727	0	0	0	0
23	2609	-118	-333,478260869565	-91354,702173913	-124,207827918012
23	2609	0	0	0	0
24	2500	-109	-295,208333333333	-77492,1875	-105,360053297167
25	2400	-100	-260	-65520	-89,0824083657518
26	2308	-92	-230	-55738,2	-75,7828616296085
28	2143	-165	-383,035714285714	-86188,78125	-117,184130156577
31	1935	-208	-436,129032258065	-88610,5161290322	-120,476773249489
35	1714	-221	-410,428571428571	-73864,83	-100,428219626478
43	1395	-319	-482,209302325581	-70631,6075581395	-96,0322605009723
57	1053	-342	-390	-43120,35	-58,6273600057104
70	857	-196	-182	-16377,27	-22,2668903244227
88	682	-175	-129,261363636364	-9256,40625	-12,585210036047
92	652	-30	-21,195652173913	-1451,05434782609	-1,97288485918717
72	833	181	163,402777777778	14292,0239583333	19,4317447287753
55	1091	258	304,909090909091	34928,8609090909	47,4900343598013
47	1277	186	257,234042553192	34491,2265957447	46,8950172869018
37	1622	345	606,081081081081	103221,668918919	140,342412436349
32	1875	253	513,90625	101175,29296875	137,560115457368
29	2069	194	434,827586206897	94464,1189655172	128,435458205085
27	2222	153	368,333333333333	85935,85	116,840239361386
25	2400	178	462,8	116625,6	158,566686891038
23	2609	209	590,652173913044	161806,209782609	219,995220634445
22	2727	118	348,636363636364	99826,7931818182	135,726665996126
21	2857	130	402,380952380952	120708,25	164,117546086924
20	3000	143	464,75	146396,25	199,043506192227
19	3158	158	540,526315789474	179233,121052632	243,689225920005
19	3158	0	0	0	0
18	3333	175	631,944444444444	221158,4375	300,691792474154
18	3333	0	0	0	0
18	3333	0	0	0	0
18	3333	0	0	0	0
17	3529	196	749,411764705882	277690,782352941	377,554390613092
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
21	2857	-672	-2080	-623968,8	-848,361469003176
28	2143	-714	-1657,5	-372962,3625	-507,087690495735
33	1818	-325	-640,151515151515	-122198,522727273	-166,143753102602
39	1538	-280	-466,666666666667	-75362	-102,463804323257
48	1250	-288	-390	-51187,5	-69,5956315357436
56	1071	-179	-207,767857142857	-23364,534375	-31,7669260144902
67	896	-175	-169,776119402985	-15972,5373134328	-21,7166070145365
79	759	-137	-112,721518987342	-8983,3414556962	-12,2139452387869
80	750	-9	-7,3125	-575,859375	-0,782950854777115
82	732	-18	-14,2682926829268	-1096,66097560976	-1,49104396929261
80	750	18	14,625	1151,71875	1,56590170955423
65	923	173	173	16766,295	22,7958171240944
45	1333	410	592,222222222222	82890,3833333333	112,699557046607
36	1667	334	603,055555555556	105555,829166667	143,515987167438
32	1875	208	422,5	83179,6875	113,092901245583
29	2069	194	434,827586206897	94464,1189655172	128,435458205085
26	2308	239	597,5	144798,15	196,870694885613
24	2500	192	520	136500	185,588350761983
23	2609	109	308,04347826087	84386,9706521739	114,734349517486
21	2857	248	767,619047619048	230274,2	313,085780227363
20	3000	143	464,75	146396,25	199,043506192227
20	3000	0	0	0	0
19	3158	158	540,526315789474	179233,121052632	243,689225920005
19	3158	0	0	0	0
18	3333	175	631,944444444444	221158,4375	300,691792474154
18	3333	0	0	0	0
18	3333	0	0	0	0
17	3529	196	749,411764705882	277690,782352941	377,554390613092
17	3529	0	0	0	0
18	3333	-196	-707,777777777778	-247697,45	-336,774807571053
20	3000	-333	-1082,25	-340908,75	-463,506906028052
26	2308	-692	-1730	-419248,2	-570,018915735751
39	1538	-770	-1283,33333333333	-207245,5	-281,775461888956
568	106	-1432	-163,87323943662	-1823,90915492958	-2,47982631504075
94	638	532	367,872340425532	24643,7680851064	33,5061998203347
62	968	330	345,967741935484	35164,1612903226	47,8099538446837
50	1200	232	301,6	38001,6	51,667796852136
19	3158	1958	6698,42105263158	2221129,43684211	3019,89559716057
19	3158	0	0	0	0
18	3333	175	631,944444444444	221158,4375	300,691792474154
18	3333	0	0	0	0
18	3333	0	0	0	0
18	3333	0	0	0	0
18	3333	0	0	0	0
17	3529	196	749,411764705882	277690,782352941	377,554390613092
17	3529	0	0	0	0
778	77	-3452	-288,40616966581	-2331,76388174807	-3,17031658007314
21	2857	2780	8604,7619047619	2581299,5	3509,59060093576
1253	48	-2809	-145,718276137271	-734,420111731844	-0,998533460093363
19	3158	3110	10639,4736842105	3527943,07894737	4796,66767475454
20	3000	-158	-513,5	-161752,5	-219,92219565295
20	3000	0	0	0	0
21	2857	-143	-442,619047619048	-132779,075	-180,529300695616
21	2857	0	0	0	0
21	2857	0	0	0	0
22	2727	-130	-384,090909090909	-109978,670454545	-149,529377792342
22	2727	0	0	0	0
23	2609	-118	-333,478260869565	-91354,702173913	-124,207827918012
23	2609	0	0	0	0
24	2500	-109	-295,208333333333	-77492,1875	-105,360053297167
25	2400	-100	-260	-65520	-89,0824083657518
26	2308	-92	-230	-55738,2	-75,7828616296085
27	2222	-86	-207,037037037037	-48303,8111111111	-65,6749057848312
28	2143	-79	-183,392857142857	-41266,14375	-56,1063411052704
29	2069	-74	-165,862068965517	-36032,7051724138	-48,990844882352
31	1935	-134	-280,967741935484	-57085,6209677419	-77,614844304959
32	1875	-60	-121,875	-23994,140625	-32,6229522823798
34	1765	-110	-210,294117647059	-38972,7573529412	-52,9882033829985
34	1765	0	0	0	0
33	1818	53	104,393939393939	19927,7590909091	27,0942120444244
31	1935	117	245,322580645161	49843,4153225807	67,7681849528373
28	2143	208	482,857142857143	108650,1	147,723024682231
25	2400	257	668,2	168386,4	228,941789499982
24	2500	100	270,833333333333	71093,75	96,6605993551994
22	2727	227	670,681818181818	192039,678409091	261,10129814509
21	2857	130	402,380952380952	120708,25	164,117546086924
20	3000	143	464,75	146396,25	199,043506192227
20	3000	0	0	0	0
19	3158	158	540,526315789474	179233,121052632	243,689225920005
19	3158	0	0	0	0
18	3333	175	631,944444444444	221158,4375	300,691792474154
18	3333	0	0	0	0
18	3333	0	0	0	0
17	3529	196	749,411764705882	277690,782352941	377,554390613092
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
17	3529	0	0	0	0
18	3333	-196	-707,777777777778	-247697,45	-336,774807571053
18	3333	0	0	0	0
19	3158	-175	-598,684210526316	-198517,697368421	-269,9089527595
21	2857	-301	-931,666666666667	-279486,025	-379,995241324339

|
591	102	102	11,2182741116751	120,147715736041	0,163355431584405
6357	9	-93	-0,950920245398773	-0,89861963190184	-0,00122178267726742
766	78	69	5,85509138381201	47,9531984334204	0,065198205208942
22	2727	2649	7826,59090909091	2241026,90795455	3046,94862901473
20	3000	273	887,25	279483,75	379,99214818516
20	3000	0	0	0	0
19	3158	158	540,526315789474	179233,121052632	243,689225920005
18	3333	175	631,944444444444	221158,4375	300,691792474154
18	3333	0	0	0	0
18	3333	0	0	0	0
16	3750	417	1694,0625	667037,109375	906,918073450159
16	3750	0	0	0	0
15	4000	250	1083,33333333333	455000	618,627835873277
363	165	-3835	-686,707988980716	-11897,2159090909	-16,1757119357319
14	4286	4121	19133,2142857143	8610520,425	11707,0497060668
15	4000	-286	-1239,33333333333	-520520	-707,710244239028
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
14	4286	286	1327,85714285714	597575,55	812,47663575227
14	4286	0	0	0	0
15	4000	-286	-1239,33333333333	-520520	-707,710244239028
14	4286	286	1327,85714285714	597575,55	812,47663575227
14	4286	0	0	0	0
14	4286	0	0	0	0
15	4000	-286	-1239,33333333333	-520520	-707,710244239028
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
19	3158	-842	-2880,52631578947	-955153,721052632	-1298,64764699142
26	2308	-850	-2125	-514972,5	-700,167743317035
580	103	-2205	-247,112068965517	-2672,51702586207	-3,63361192097481
109	550	447	266,559633027523	15393,8188073394	20,9297688233181
460	130	-420	-59,3478260869565	-810,097826086957	-1,10142651647872
83	723	593	464,397590361446	35254,7430722892	47,9331107935794
70	857	134	124,428571428571	11196,705	15,2232821605747
67	896	39	37,8358208955224	3559,59402985075	4,83970099181099
60	1000	104	112,666666666667	11830	16,0843237327052
56	1071	71	82,4107142857143	9267,496875	12,6002890895464
51	1176	105	133,823529411765	16524,5294117647	22,4671074040095
46	1304	128	180,869565217391	24764,6608695652	33,670568263461
45	1333	29	41,8888888888889	5862,97833333333	7,97143208378442
45	1333	0	0	0	0
43	1395	62	93,7209302325581	13727,773255814	18,6645772760511
55	1091	-304	-359,272727272727	-41156,4872727273	-55,957249788293
57	1053	-38	-43,3333333333333	-4791,15	-6,5141511117456
58	1034	-19	-21,2931034482759	-2311,79224137931	-3,14316270609476
